,mz,ISP2_2_MR1_1|D1|9b176338-f1f4-4b97-ab07-483c98d3b21e,ISP2_2_MR1_2|D2|dd613e71-0682-4482-a1f3-7eef4a1e2a89,ISP2_2_MR1_3|D3|6ce3ad15-4880-4e70-a1f9-3cd79bfadc84,ISP2_2_MR1_4|D4|c5ab95ee-1ae7-4c8d-9d24-a8fc6285f581,ISP2_2_MR1_5|D5|7bc3e656-d008-4e41-9aa9-7bc45307b012
2032,304.1802,6189.0,5037.0,2070.0,3039.0,2754.0
2033,304.1829,4126.0,3358.0,1380.0,2026.0,1836.0
2034,304.2078,2972.0,3456.0,2744.0,2656.0,2576.0
2035,304.2105,743.0,864.0,686.0,664.0,644.0
2036,304.2215,2856.0,4476.0,1988.0,2808.0,3012.0
2037,304.2243,714.0,1119.0,497.0,702.0,753.0
2038,304.3042,573130.0,597790.0,652775.0,173290.0,380920.0
2039,304.3263,2160.0,2872.0,3512.0,138632.0,1752.0
2040,305.107,5921.0,446.0,255.0,267.0,289.0
2041,305.118,5921.0,446.0,386.0,267.0,289.0
2042,305.1208,5921.0,446.0,386.0,267.0,289.0
2043,305.129,5921.0,446.0,426.0,267.0,250.0
2044,305.1318,5921.0,446.0,426.0,267.0,250.0
2045,305.1346,5921.0,446.0,426.0,250.0,250.0
2046,305.1373,11842.0,892.0,852.0,500.0,500.0
2047,305.1539,11842.0,10910.0,10730.0,5254.0,8206.0
2048,305.1567,17763.0,16365.0,16095.0,7881.0,12309.0
2049,305.1649,5921.0,3375.0,5365.0,1629.0,4103.0
2050,305.1677,5921.0,3375.0,5365.0,1629.0,4103.0
2051,305.1815,628.0,396.0,3508.0,507.0,411.0
2052,305.1843,628.0,396.0,3508.0,507.0,411.0
2053,305.187,628.0,396.0,3508.0,507.0,411.0
2054,305.1925,1110.0,792.0,7016.0,1014.0,822.0
2055,305.2063,9770.0,14945.0,17540.0,6930.0,11790.0
2056,305.2395,1809.0,8967.0,900.0,4158.0,867.0
2057,305.3085,128510.0,141790.0,156020.0,40785.0,85300.0
2058,305.9218,0.0,0.0,0.0,284.0,0.0
2059,306.0545,2157.0,5784.0,3663.0,2592.0,2394.0
2060,306.0573,1438.0,3856.0,2442.0,1728.0,1596.0
2061,306.0849,719.0,1928.0,253.0,265.0,274.0
2062,306.0877,719.0,1928.0,253.0,265.0,274.0
2063,306.0904,719.0,1928.0,253.0,265.0,274.0
2064,306.1181,480.0,481.0,261.0,323.0,302.0
2065,306.1264,960.0,962.0,536.0,646.0,604.0
2066,306.1319,480.0,481.0,268.0,323.0,302.0
2067,306.1347,480.0,481.0,268.0,412.0,302.0
2068,306.1374,480.0,555.0,268.0,412.0,302.0
2069,306.1402,960.0,1110.0,1876.0,824.0,604.0
2070,306.1513,2712.0,2850.0,1876.0,1420.0,1648.0
2071,306.154,1356.0,1425.0,938.0,710.0,824.0
2072,306.1596,7030.0,7125.0,5800.0,3550.0,4030.0
2073,306.1706,2812.0,2850.0,2320.0,1406.0,1078.0
2074,306.1844,1734.0,1028.0,722.0,864.0,880.0
2075,306.1872,1734.0,1028.0,722.0,864.0,880.0
2076,306.19,867.0,514.0,415.0,432.0,440.0
2077,306.1927,867.0,446.0,415.0,432.0,440.0
2078,306.1983,867.0,446.0,415.0,432.0,776.0
2079,306.2066,922.0,483.0,826.0,386.0,776.0
2080,306.2093,1844.0,966.0,1652.0,772.0,1552.0
2081,306.2121,1844.0,966.0,1652.0,772.0,1552.0
2082,306.2204,485.0,483.0,513.0,333.0,242.0
2083,306.2232,485.0,483.0,513.0,333.0,242.0
2084,306.2259,970.0,966.0,1026.0,666.0,484.0
2085,306.3117,11785.0,15175.0,13350.0,2885.0,8335.0
2086,307.0561,0.0,0.0,282.0,0.0,0.0
2087,307.1115,629.0,728.0,466.0,291.0,435.0
2088,307.1337,1258.0,1456.0,932.0,620.0,870.0
2089,307.1364,1887.0,2184.0,1398.0,930.0,1305.0
2090,307.1475,732.0,451.0,566.0,457.0,505.0
2091,307.1503,2196.0,1656.0,1698.0,1371.0,1515.0
2092,307.153,1464.0,1104.0,1132.0,914.0,1010.0
2093,307.1586,1068.0,1104.0,926.0,914.0,1010.0
2094,307.1669,1174.0,873.0,484.0,524.0,464.0
2095,307.1697,1174.0,873.0,528.0,524.0,464.0
2096,307.1724,4696.0,3492.0,2112.0,2096.0,1856.0
2097,307.1863,3372.0,3472.0,3300.0,1624.0,2408.0
2098,307.189,843.0,868.0,825.0,406.0,602.0
2099,307.2029,471.0,491.0,480.0,406.0,255.0
2100,307.2112,471.0,491.0,480.0,275.0,255.0
2101,307.2195,942.0,982.0,960.0,550.0,510.0
2102,307.2223,471.0,491.0,480.0,275.0,255.0
2103,307.3137,0.0,0.0,420.0,0.0,0.0
2104,308.0594,12385.0,6675.0,4570.0,12120.0,6460.0
2105,308.1093,624.0,457.0,501.0,428.0,496.0
2106,308.1426,624.0,801.0,501.0,428.0,496.0
2107,308.1453,624.0,801.0,501.0,428.0,496.0
2108,308.1454,1248.0,1602.0,1002.0,856.0,992.0
2109,308.1481,624.0,801.0,501.0,428.0,496.0
2110,308.1509,624.0,586.0,501.0,428.0,514.0
2111,308.1537,640.0,586.0,501.0,428.0,514.0
2112,308.162,640.0,586.0,382.0,428.0,514.0
2113,308.1648,640.0,586.0,382.0,464.0,564.0
2114,308.1759,694.0,776.0,591.0,464.0,564.0
2115,308.1786,2776.0,3104.0,2364.0,1856.0,2256.0
2116,308.1925,1830.0,1390.0,490.0,480.0,660.0
2117,308.2008,915.0,695.0,729.0,240.0,481.0
2118,308.2036,3660.0,2780.0,2916.0,960.0,1924.0
2119,308.2147,915.0,695.0,287.0,240.0,246.0
2120,308.2175,915.0,695.0,287.0,240.0,246.0
2121,308.2397,2745.0,2085.0,1167.0,777.0,690.0
2122,309.042,0.0,0.0,255.0,447.0,320.0
2123,309.0615,0.0,0.0,255.0,447.0,311.0
2124,309.0642,0.0,0.0,510.0,894.0,622.0
2125,309.1281,1416.0,1239.0,1752.0,1623.0,699.0
2126,309.1309,472.0,413.0,584.0,541.0,233.0
2127,309.1393,944.0,826.0,504.0,1082.0,466.0
2128,309.1504,5708.0,2448.0,1752.0,1948.0,956.0
2129,309.1643,7135.0,7870.0,5780.0,3680.0,4365.0
2130,309.1754,1467.0,1719.0,1311.0,1644.0,1158.0
2131,309.1782,489.0,573.0,437.0,454.0,386.0
2132,309.1837,1274.0,894.0,898.0,908.0,990.0
2133,309.1865,1911.0,1341.0,1347.0,1362.0,1485.0
2134,309.1948,637.0,447.0,358.0,326.0,525.0
